,id,url,type,cost,impression,effect,img
61,CR317626919031930880,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR317626919031930880,Image,50.0,5000.0,100.0,https://tpc.googlesyndication.com/simgad/15792091731317733706
62,CR319350953264283648,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR319350953264283648,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/10220453803199458062
63,CR31965002042703872,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR31965002042703872,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/15073812654467191267
64,CR325508218379829248,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR325508218379829248,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/16486822730691002386
65,CR328498890007379968,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR328498890007379968,Image,50.0,5000.0,100.0,https://tpc.googlesyndication.com/simgad/13192106485446283650
66,CR334515417634570240,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR334515417634570240,Image,50.0,500000.0,10000.0,https://tpc.googlesyndication.com/simgad/13445135482128790107
67,CR33900142507589632,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR33900142507589632,Image,500.0,500000.0,1000.0,https://tpc.googlesyndication.com/simgad/6670860728452482548
68,CR340144917168783360,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR340144917168783360,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/7949050572208210497
69,CR342361532610379776,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR342361532610379776,Image,50.0,5000.0,100.0,https://tpc.googlesyndication.com/simgad/10220453803199458062
71,CR344965176144953344,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR344965176144953344,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/4371757728105564100
72,CR346900316609839104,https://transparencyreport.google.com/political-ads/library/advertiser/AR100996740080992256/creative/CR346900316609839104,Image,50.0,50000.0,1000.0,https://tpc.googlesyndication.com/simgad/3316677486529017976
